Girls  Boys
  91    457
 316    484
 362    487
 431    489
 469    539
 489    543
 499    639
 504    645
 505    649
 509    651
 519    656
 538    710
 548    715
 553    719
 557    736
 575    743
 580    753
 583    761
 583    764
 586    774
 601    779
 609    790
 609    796
 613    846
 623    850
 648    877
 669    883
 674    884
 693    899
 697    921
 697    926
 704    930
 715    947
 721    959
 725    980
 727    991
 729   1025
 736   1057
 738   1059
 752   1079
 755   1081
 760   1087
 764   1104
 769   1109
 772   1110
 776   1118
 782   1118
 784   1132
 790   1153
 803   1154
 809   1155
 815   1164
 816   1168
 826   1181
 844   1182
 847   1187
 857   1203
 877   1212
 880   1231
 887   1234
 901   1235
 911   1281
 912   1297
 929   1320
 929   1322
 929   1326
 947   1353
 952   1382
 953   1414
 967   1415
 970   1417
 972   1425
 973   1445
 981   1459
 984   1479
 998   1484
1031   1511
1043   1569
1055   1577
1056   1597
1077   1601
1079   1641
1086   1660
1089   1670
1089   1685
1097   1695
1107   1715
1121   1769
1125   1781
1146   1786
1166   1831
1195   1843
1245   1928
1280   1986
1310   2039
1312   2070
1338   2107
1383   2223
1384   2296
1404   2313
1431   2364
1469   2419
1617   2480
1626   2575
1675   2697
1713   2710
1829   2925
1868   3362
2269 
2351
